,Q16288,P54764,O43353,P48736,P06239,P43405,Q13523,Q15375,P29320,P21127,O43293,O75914,P57078,P22612,Q13163,Q13976,P00533,Q5VT25,P32298,P04629,Q06187,P36888,Q13233,Q14004,Q9Y4K4,P16234,Q92769,Q9Y5N1,Q9Y6F1,Q13555,O60285,P15735,Q15831,Q13131,Q12866,Q9P1W9,Q00535,Q9ULX7,P08922,P37023,Q9UQM7,Q16512,P07332,Q9UHD2,P62993,P42680,P49840,P09619,P35916,Q16539,P11274,Q15303,P29376,P35968,P11309,O14965,O15146,Q9BWU1,O75582,Q92772,P08238,P29597,P54756,O75676,Q9H2K8,P41597,P28072,Q09013,P51451,P07948,Q9UL54,Q9Y2K2,P30291,O00506,Q8TBX8,Q96L34,P07333,Q15349,Q9UM73,P11362,Q96GD4,P22694,Q01959,P51956,P09874,P17948,Q02779,P50613,P08173,Q9Y2U5,Q13177,O00444,P29317,P07949,P36897,P57058,Q04912,P19784,Q07002,P08069,Q9H422,Q86V86,Q9H1R3,O43570,P08172,Q8N4C8,Q05397,P22607,P16083,Q13188,P08684,Q9UBN7,P41240,P41743,P17252,P23458,P04626,Q9BY41,Q9NSY1,Q16665,P15056,O14976,Q9BUB5,P25440,Q9UKE5,Q06418,P29322,P06241,P18089,Q8TDR2,Q9UIK4,Q86Y07,P08581,Q8IYT8,Q9UBF8,Q9H0K1,P49759,Q9Y6R4,O94804,Q92731,P62942,P42685,Q8IVH8,O75716,P35354,P16591,P07947,P51617,Q52WX2,O00519,P04035,Q9P286,Q9UPZ9,Q9Y616,P52732,Q9HAZ1,Q9BQI3,Q16832,P21802,Q08345,Q8NE63,Q05513,Q13557,Q12852,P17612,P14867,P00519,Q8N5S9,Q04771,Q15910,P04049,P06213,Q9H2K2,O75385,O60331,P21860,P49841,Q9UNQ0,P78356,Q9P2K8,P10275,Q13546,P36896,P27361,P45984,Q02750,P42684,O15379,Q9UF33,Q9Y6E0,Q14164,O96013,P10398,Q9UBE0,P19525,Q13043,Q8NI60,Q16620,P41595,P80192,Q96DB2,Q16513,Q9UQL6,Q9Y2H9,Q00537,Q15139,P52333,Q9UQB9,Q6XUX3,P49674,Q7RTN6,P35372,P08631,P62158,Q13547,Q15746,Q6PHR2,Q9NYL2,O15357,P49336,P08235,P53355,P33981,P53350,P54760,O96017,P24864,Q00534,P54762,Q9UEE5,Q9UQ88,P42336,Q96D53,Q6P3R8,Q13470,Q07912,Q5S007,P12931,P35218,O00141,P35590,Q9Y6Q9,Q9UBE8,Q9UK32,Q9BX84,P27037,Q9UPE1,P06493,Q96RR4,Q9NQU5,O43318,Q9BVS4,P27448,P42338,O60674,O94956,O14920,Q2M2I8,Q8TDC3,P23975,Q8TD19,Q14289,P54619,Q969S8,P68400,P54646,P26927,Q9Y572,P29323,O14757,P45983,Q9BYT3,Q7KZI7,Q56UN5,P48426,P33527,Q9HC98,P36507,P57059,Q9NYY3,P25100,Q15418,Q12851,Q08881,Q13451,O75116,P80370,Q9UGN5,Q59H18,Q13535,P06756,Q9NY57,P53779,P0C264,P10721,P14780,P24557,P78362,P30530,Q00536,P10276,Q05655,Q13315,P11802,Q16790,O15197,P20309,Q9Y463,P42345,P14616,O94921,P04792,Q15465,P28223,Q8IU85,Q9P289,Q13873,Q9NRH2,O94768,P56524,Q15759,P50750,Q9H2G2,Q96SB4,P11511,P18405,P09769,O14578,P07451,P41440,O15530,Q02763,Q9Y478,Q15059,Q16584,Q00526,P51813,Q12931,Q86YV6,Q04759,P24723,Q02156,O94806,Q8TDU6,P23443,Q9H2X6,O00329,Q8WU08,P53671,Q9BXA7,Q96S53,Q9H093,Q92918,O00750,P28062,P28065,P53667,Q8WTQ7,P12268,P51955,Q9NWZ3,Q53EL6,P48730,Q9BRS2,Q99759,P51957,O95819,Q13490,P20794,Q07820,O00238,Q86Z02,Q99720,Q13153,O43283,Q06278,P24941,O14733,P34947,O95835,Q9NRP7,P53778,P22455,P08575,Q7L7X3,P04150,Q13509,P23219,P39877,Q92753,Q8TEK3,Q9H9B1,P51812,P49760,Q14680,P14635,O15297,Q99570,P49137,O14730,Q8NEB9,Q9P0L2,P43403,P51843,P05129,P10415,P09237,P00918,O14980,O76039,O15075,O00571,P22748,O75747,Q13882,P67870,P23280,P03372,P20248,Q9H3R0,Q9C098,P42681,Q15125,Q96KQ7,P18825,O00311,Q13627,Q8IY84,Q8TD08,P49761,O14936,O15264,O75460,P54753,Q96FL8,Q9BXW9,P19793,Q9Y2T1,P55072,Q13164,O00443,P68106,P30519,Q16816,Q06210,Q96NX5,Q15569,Q9NRM7,P14902,Q32MK0,O43172,P31749,P78536,P14207,P36894,Q8IVW4,P0C1S8,P78368,Q9H4B4,P11474,P21709,Q96NT5,P08254,O15111,P08913,Q14012,P98170,Q9NZK7,P51817,P21453,Q9UKV0,Q15131,Q9UNK4,Q9NZJ5,Q15208,Q58F21,P04818,Q13237,Q9BZL6,Q15393,P35398,Q15835,Q16566,Q12809,P18031,Q9Y243,O14684,Q8TDX7,P45985,P30085,P61073,Q8WUI4,Q00987,O00764,Q9UEW8,P34913,P35462,P40306,Q8N752,Q99835,Q13464,P42229,P52564,P00915,Q86UE8,P28482,P03956,P05231,P11021,Q9HBY8,P07900,O60885,P11229,Q8N1Q1,O43683,Q16659,P14555,Q96PY6,P06730,Q96Q40,P61160,Q8N568,Q8NG66,P05771,Q8NFD2,Q9HBH9,Q13554,P16455,Q99755,P08253,O15496,P31751,P20813,P46734,Q92499,O60563,O95271,Q13705,Q16644,B2RXH2,P37173,P08185,P06401,Q08209,P15104,Q9BZM2,P43166,Q9H3Y6,Q9UKI8,P28335,P14416,P07237,P52209,P48729,Q96BR1,Q00613,P31645,P05177,P50406,Q16548,P28074,P22303,Q99640,P15328,Q13489,Q9Y2D0,P21452,P01112,P42679,Q9Y6L6,Q99500,P04054,P22894,P13631,O95977,P42356,Q92793,P09038,P43490,P28702,Q9NZ45,P16152,P27986,Q9BY08,P42330,Q9UIF9,Q9NWT8,P56704,Q13418,Q9Y4C1,P05093,P14625,Q07817,Q92630,P31689,Q9Y5S2,Q6DT37,P55263,P23284,Q04760,Q96JM7,Q8IW41,P10826,P30281,Q8TF76,P00374,P00813,Q6P5Z2,O95747,Q9Y2H1,O14744,Q8WXR4,Q8IWQ3,O15554,P48443,P01375,Q01538,Q09472,Q9UIF8,P41145,Q13093,P0DMS8,Q15118,Q9H237,P45452,Q02224,Q86VL8,O15054,P04156,P15121,Q96RI1,P31213
CHEMBL3544911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,,,,,,,,,,,417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.0,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,548.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,753.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3301610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.889999389648438,,,,,,,,,,,,,,,,,13.350000381469727,,,,,,,,7.139999866485596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.299999237060547,,,,,,,,,,,,,,,,,530.3099975585938,,,,,,,,,,,,,,,,,,,,,,6.619999885559082,,,,,,,495.3500061035156,,,,125.87999725341797,,,,,53.349998474121094,,,13.270000457763672,,,,,,,19.450000762939453,,,,,,,,,,,,,,13.229999542236328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,892.4600219726562,58.560001373291016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.83000183105469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.22999954223633,,794.719970703125,,96.55000305175781,,,,,,,,,,,,,,,,,,174.44000244140625,,,,,,798.3300170898438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.45999908447266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.900001525878906,,,584.989990234375,,,,,,,,203.6300048828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.69000244140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL941,,,,,316.0,,,,,,,,,,,,,,,,,,,,,158.0,,,,,,,,,,,,468.0,,,,,,,16.079999923706055,,,50.0,,,6.510000228881836,,,,,,,,,,,,,,,,,,,199.0,,,,,,,158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,980.0,,,,,41.060001373291016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.0,,,,,,,,,,,,,,,,180.74000549316406,,21.709999084472656,960.0,,,,,,50.0,,,,,,,,,,,,,,,,,,,,64.0199966430664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.13999938964844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.5,,198.0,,,,,,,,75.69999694824219,,,,,,,,,540.0,,,,,,,,,,,,,,,528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.200000762939453,,,,434.8699951171875,,,,,392.0,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.899999618530273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0,,,,,,,,,,745.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL488436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626.6400146484375,,,,,,,,,,55.4900016784668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,826.260009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770.75,,,,,,,,,,,,,,,,,,,,,,,62.06999969482422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.0500030517578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.0,,,,,,,,,,,,,,,,,,319.9599914550781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,721.3300170898438,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5699999928474426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL572881,,,,,360.0,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,9.100000381469727,9.699999809265137,,,,,26.0,,,,,,,,,,,,,,,,160.0,,,,,,,5.599999904632568,,,,,,,,,12.0,,,,,,,,81.27999877929688,,,,,,,,,,,,,,,,,,,,,,,,,,,455.0,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,260.0,,,,,,,,,,,880.0,,,,,,,,,,,,,,,,,,490.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.41999816894531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,220.0,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,,,,,,,,,,,1.2200000286102295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1090479,,,611.3300170898438,,,,,,,,,,,,,,,,,,,52.70000076293945,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,,,,,,,491.0,,,,,,,,,,,,,,,,,,,,,,,,956.6099853515625,370.6700134277344,,,,,42.0,,,,,,574.7899780273438,,66.70999908447266,,,,,,,,,,,,,,,,,,,,,,,,,168.66000366210938,,,,,,,,,,,,,,,,,684.5499877929688,,,,,,,,,,,,,,,,,,,,,,,,7.840000152587891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992.3900146484375,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,535.5599975585938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1951415,,,,,,,,,,,,,,,,,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1336,398.0,,,,,,,,,,,,,,190.0,,41.47999954223633,,,,,794.0,,,316.0,,,,,,,,,,,,,,,,,,,,,,,3.981071710586548,100.0,15.0,,,,39.0,,794.0,130.0,250.0,,130.0,,,,,,,,,794.0,398.0,540.0,,,,,,158.0,,,,199.0,,,,,316.0,,140.0,,,,398.0,794.0,100.0,,,,,,,440.0,,,,,,,,,,,,,,,,,,,,400.0,,230.0,,,,,,,,,,,,,,,,150.0,,,510.0,,,,,,,,,,,,,,,,,,,10.0,,,,,,158.0,,,,230.0,,,,,,,,,,,,,18.100000381469727,,,,,370.0,,,,,,,,,630.0,56.0,,,,,,,,,210.0,,,,,,,,,,15.0,,79.0,,,,,,,,,,,,,,,,,,390.0,,,68.0,,640.0,,,,,,,,690.0,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,280.0,,,,,,26.5,,,,158.0,,,,,,,240.0,,,,,,,,,,,,,,,230.0,,,,58.0,,,,,,,,,,,,,,,,,,,,398.0,501.0,,,,,,,,,,,630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,490.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,109.5,,,,,,,,,,,,,,,,,,,,316.0,,,,,,,,,,,,,,,,,,,,,,,,417.0,,,,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL513909,,,,,,,,,,,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.0,,,,,12.0,,,,,,,,,,,,,,700.0,160.0,,,,,720.0,,,,,,,,,,,,,,,,,,,,,,,437.4599914550781,,,,,,,,,,,,,,,,,,,,,,,,930.0,,,,,,940.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,460.0,,,,,,,,,,,320.0,,,,,,,,,,97.0,,,,,,540.0,,0.1899999976158142,,,,,,,,,,,,,,,,,,,,,,,,,257.510009765625,,,,,,,,,,,,,310.0,,,,,,,,,,,,480.0,,,,,,0.8100000023841858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.0,,,,,,,,,,,,,,,850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770.0,,630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,260.0,,,,,,,,,,,,,,,,,,387.3999938964844,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2419346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2105759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.89999389648438,,,,,,,,,,,,103.62000274658203,,,,,,,,,,,,,,,,,,,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,973.2899780273438,,,,,,,,,,,,,,,,,,,,,,4.0,,,216.0,,,,,,,,,,,,,,,,,,777.9099731445312,,,,,,,,,,,,,,,,,,,,335.3800048828125,,,,,,312.07000732421875,,,,,,,,,,,810.1699829101562,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.8800048828125,,,,,787.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,621.8499755859375,,,,,,,,,,,,,,,,,,103.83000183105469,,87.80000305175781,,,46.459999084472656,,,,,,,,,,,,,,,125.16000366210938,,,,,,,,,,,,,755.8499755859375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.5899963378906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482.29998779296875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL467399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2029988,,,441.7799987792969,,2.0,,,,,,,,,,,,22.0,,,,,549.780029296875,,,,,,,,,,,,,,,,,,,,,,,171.57000732421875,,,2.0,,566.280029296875,41.209999084472656,,,8.0,,,,,,,,,401.1499938964844,,,,,,,770.7000122070312,,,,,,,9.0,,,,,,,,,,,,,,,,143.5399932861328,11.199999809265137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513.0,,,,,,,,,849.760009765625,,,,980.030029296875,,,,,,,,,,,,182.92999267578125,,123.55000305175781,,,,,,,3.0,,,,39.0,,,,,,,,,,,,,,148.3800048828125,,30.469999313354492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,997.6799926757812,28.209999084472656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.83999633789062,,,,,,,,,,,,,,,,,,,,,,,,,378.2200012207031,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,872.239990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490.04998779296875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.0,,,,,,,,,,
